"ID","duration","RecordedDate","mailboxfrequency","securitytraining","pre_self_1","pre_self_2","pre_self_3","attention_check_pre","pre_knowledge_1","pre_knowledge_2","pre_knowledge_3","pre_knowledge_4","pre_knowledge_5","pre_knowledge_6","pre_knowledge_7","pre_knowledge_8","pre_knowledge_9","pre_knowledge_10","pre_SA.13_1","pre_SA.13_2","pre_SA.13_3","pre_SA.13_4","pre_SA.13_5","pre_SA.13_6","pre_SA.13_7","pre_SA.13_8","pre_SA.13_9","pre_SA.13_10","pre_SA.13_11","pre_SA.13_12","pre_SA.13_13","pre_haisq_knowledge_1","pre_haisq_knowledge_2","pre_haisq_knowledge_3","pre_haisq_knowledge_4","pre_haisq_knowledge_5","pre_haisq_knowledge_6","pre_class_1","pre_class_2","pre_class_3","pre_class_4","pre_class_5","pre_class_6","pre_class_7","pre_class_8","pre_class_9","pre_class_10","pre_class_11","pre_class_12","pre_class_13","pre_class_14","pre_class_15","pre_class_16","pre_class_17","pre_class_18","pre_class_19","pre_class_20","pre_class_21","pre_class_22","pre_class_23","pre_class_24","video_1_check","video_2_check","video_3_check","Q300_First.Click","Q300_Last.Click","Q300_Page.Submit","Q300_Click.Count","t0_video1_q","t0_video1_t_First.Click","t0_video1_t_Last.Click","t0_video1_t_Page.Submit","t0_video1_t_Click.Count","t0_video2_q","t0_video2_t_First.Click","t0_video2_t_Last.Click","t0_video2_t_Page.Submit","t0_video2_t_Click.Count","t0_video3_q","t0_video3_t_First.Click","t0_video3_t_Last.Click","t0_video3_t_Page.Submit","t0_video3_t_Click.Count","Q320_First.Click","Q320_Last.Click","Q320_Page.Submit","Q320_Click.Count","Q313_First.Click","Q313_Last.Click","Q313_Page.Submit","Q313_Click.Count","Q267_First.Click","Q267_Last.Click","Q267_Page.Submit","Q267_Click.Count","Q328_First.Click","Q328_Last.Click","Q328_Page.Submit","Q328_Click.Count","Q333_First.Click","Q333_Last.Click","Q333_Page.Submit","Q333_Click.Count","Q331_First.Click","Q331_Last.Click","Q331_Page.Submit","Q331_Click.Count","Q269_First.Click","Q269_Last.Click","Q269_Page.Submit","Q269_Click.Count","feedback_like","feedback_dislike","feedback_general","feedback_00","feedback_01","feedback_02","feedback_10","feedback_11","feedback_12","feedback_2_videos_1","feedback_2_videos_2","feedback_2_videos_3","feedback_2","feedback_assign","post_class_1","post_class_2","post_class_3","post_class_4","post_class_5","post_class_6","post_class_7","post_class_8","post_class_9","post_class_10","post_class_11","post_class_12","post_class_13","post_class_14","post_class_15","post_class_16","post_class_17","post_class_18","post_class_19","post_class_20","post_class_21","post_class_22","post_class_23","post_class_24","post_attention","post_knowledge_1","post_knowledge_2","post_knowledge_3","post_knowledge_4","post_knowledge_5","post_knowledge_6","post_knowledge_7","post_knowledge_8","post_knowledge_9","post_knowledge_10","haisq_emailinternet_1","haisq_emailinternet_2","haisq_emailinternet_3","haisq_emailinternet_4","haisq_emailinternet_5","haisq_emailinternet_6","haisq_emailinternet_7","haisq_emailinternet_8","haisq_emailinternet_9","haisq_emailinternet_10","haisq_emailinternet_11","haisq_emailinternet_12","haisq_emailinternet_13","haisq_emailinternet_14","haisq_emailinternet_15","haisq_emailinternet_16","haisq_emailinternet_17","haisq_emailinternet_18","dem_age","dem_edu","dem_edu_8_TEXT","dem_it","dem_it_3_TEXT","dem_bfi_1","dem_bfi_2","dem_bfi_3","dem_bfi_4","dem_bfi_5","dem_bfi_6","dem_bfi_7","dem_bfi_8","dem_bfi_9","dem_bfi_10","post_self_1","post_self_2","post_self_3","post_sa.13_1","post_sa.13_2","post_sa.13_3","post_sa.13_4","post_sa.13_5","post_sa.13_6","post_sa.13_7","post_sa.13_8","post_sa.13_9","post_sa.13_10","post_sa.13_11","post_sa.13_12","post_sa.13_13","post_comments","post_errors","post_quality_q","post_quality_q_3_TEXT","SC0","string","PROLIFIC_PID","SESSION_ID","STUDY_ID","Timestamp_before_class_pre","Timestamp_train","Timestamp_train_end","Timestamp_before_class_post","Timestamp_after_class_post","Timestamp_demographics","condition","participant_score","reports","NOSCORE","group","pre.sa13_engagement","pre.sa13_attentiveness","pre.sa13_resistance","pre.sa13_concernedness","pre.sa13_total","post.sa13_engagement","post.sa13_attentiveness","post.sa13_resistance","post.sa13_concernedness","post.sa13_total","pre.haisq_email_knowledge","pre.haisq_internet_knowledge","post.haisq_email_knowledge","post.haisq_email_attitude","post.haisq_email_behaviour","post.haisq_internet_knowledge","post.haisq_internet_attitude","post.haisq_internet_behaviour","post.haisq_emailInternet_total","bfi_extraversion","bfi_agreeableness","bfi_conscientiousness","bfi_neuroticism","bfi_openness","class_phish_accuracy_pre","class_nophish_accuracy_pre","class_phish_accuracy_post","class_nophish_accuracy_post","knowledge_total_pre","knowledge_total_post","proficiency_pre","proficiency_post","prof_group","train_group","assignment_fit","outlier","feedback_total"
169,2782,"","Multiple times a day","No, never",4,4,4,"Sunfish",0,NA,NA,1,1,NA,1,NA,NA,1,4,4,4,4,4,4,4,4,5,4,5,5,4,4,3,5,5,5,5,1,NA,NA,0,1,NA,1,NA,NA,1,NA,1,1,NA,1,NA,1,1,NA,1,NA,1,NA,1,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","23.772","1118.548","1147.268","166","","","",NA,NA,"Alternative 1: I would prefer the full training with educational videos, tests with guidance, and the reminder elements.",NA,NA,NA,"","","",NA,"I prefer the training to be assigned based on personalisation.",NA,1,1,NA,NA,1,NA,1,0,NA,1,NA,NA,1,NA,1,NA,NA,1,NA,1,NA,0,NA,0,NA,1,1,NA,NA,1,NA,1,1,"Phishing can occur through emails, phone calls, and text messages.",4,3,4,4,4,4,3,4,4,5,5,5,5,4,5,5,5,5,"26-35","Graduate university degree (Bachelor/Master)","","No, other education or occupation","",2,4,5,4,2,3,2,4,4,4,4,4,4,4,4,4,4,4,3,4,4,4,2,4,4,4,"","","Yes, you can use this data","","36.3","100110100101101010010101","","","","2024-08-28T10:44:00.024Z","2024-08-28T10:52:15.428Z","2024-08-28T11:11:41.293Z","2024-08-28T11:13:16.690Z","2024-08-28T11:15:25.572Z","2024-08-28T11:17:49.024Z","0",27.3,"10,12,13,17,29","","2",4,4,4.25,4.66666666666667,4.25,4,4,3.75,3.33333333333333,3.76923076923077,12,15,11,12,11,15,14,15,78,2.5,3,4,4,3,0.833333333333333,1,0.833333333333333,0.8,0.8,0.833333333333333,26.3,22.8,2,"limited","match",NA,"prefer full"
170,2628,"","Multiple times a day","Yes, more than once",4,4,4,"Sunfish",1,0,NA,NA,NA,0,1,1,NA,NA,5,5,5,3,5,5,5,5,5,5,5,5,2,1,5,5,2,5,2,0,1,NA,NA,NA,1,1,0,NA,NA,1,NA,NA,NA,1,1,1,1,NA,NA,NA,1,1,NA,"Postman","Look for the 'who-area'","Sending fake copies of real emails","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",NA,NA,NA,NA,NA,NA,"","","","I prefer the option I received.","I prefer the training to be assigned based on personalisation.",NA,NA,0,1,1,NA,NA,NA,1,0,NA,1,1,1,NA,NA,NA,NA,1,1,1,NA,NA,0,0,NA,NA,1,1,0,NA,NA,NA,1,"",3,5,5,5,5,5,1,4,5,5,5,4,5,5,5,4,5,5,"36-45","Associate or technical degree","","Yes, other IT security related education or occupation:","",2,4,5,2,2,4,3,4,4,4,4,4,4,4,5,4,5,5,4,4,5,5,4,4,2,4,"","","Yes, you can use this data","","38.6","110001110010001110100110","","","","2024-08-28T10:41:11.745Z","2024-08-28T10:46:14.131Z","2024-08-28T11:06:09.842Z","2024-08-28T11:08:35.176Z","2024-08-28T11:13:03.284Z","2024-08-28T11:16:50.920Z","2",29.6,"","","2",4.33333333333333,5,5,4,4.83333333333333,4.33333333333333,4.66666666666667,4.5,3.33333333333333,4.23076923076923,11,9,13,15,10,14,15,14,81,3,3.5,4,3,3,0.666666666666667,1,0.666666666666667,0.833333333333333,0.6,0.6,24.6,22.7,2,"education","education",NA,"keep"
171,2498,"","Multiple times an hour","Yes, more than once",4,4,4,"Sunfish",1,NA,NA,1,NA,0,NA,1,1,NA,2,3,4,3,4,3,3,2,4,4,4,4,4,4,5,5,5,5,5,1,NA,NA,0,NA,1,NA,1,1,NA,NA,1,1,NA,1,NA,NA,NA,1,1,NA,1,NA,1,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","10.4","495.933","502.033","71","43.992","226.42","226.425","16","2.151","403.235","528.886","61","","","","","","","",NA,NA,NA,NA,"I would prefer the training I experienced.",NA,"","","",NA,"I prefer the training to be assigned based on personalisation.",NA,1,1,NA,1,NA,1,NA,NA,1,1,NA,NA,1,NA,1,1,1,NA,NA,1,NA,0,NA,0,NA,1,1,NA,1,NA,1,NA,NA,"Phishing can occur through emails, phone calls, and text messages.",4,5,5,5,5,5,4,5,5,5,5,5,4,4,5,4,5,4,"26-35","Graduate university degree (Bachelor/Master)","","Yes, studies in Computer Science, IT Security, Cybersecurity or similar","",1,4,2,5,5,1,3,4,5,5,4,4,4,4,4,3,3,2,2,3,4,4,4,4,4,4,"","","Yes, you can use this data","","41","100101011001101001010101","","","","2024-08-28T10:43:08.787Z","2024-08-28T10:46:40.833Z","2024-08-28T11:10:57.865Z","2024-08-28T11:14:24.885Z","2024-08-28T11:16:49.687Z","2024-08-28T11:18:45.813Z","1",30,"12,17,29","","1",3,3.33333333333333,3.25,4,3.33333333333333,3.66666666666667,3.33333333333333,3,4,3.46153846153846,14,15,14,15,14,15,13,13,84,1,3.5,4.5,5,5,0.833333333333333,1,1,0.833333333333333,0.8,0.8,24,24.1,2,"medium","easy",NA,"keep"
172,2872,"","Multiple times an hour","No, never",3,4,3,"Sunfish",NA,1,NA,1,1,NA,NA,1,1,NA,4,4,2,3,4,3,4,5,4,3,4,4,3,2,4,3,4,5,5,NA,0,NA,1,0,NA,NA,1,0,NA,0,NA,NA,NA,1,1,NA,NA,1,NA,NA,1,NA,1,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","9.637","510.543","513.097","108","8.048","311.497","311.51","40","5.112","474.962","483.099","77","","","","","","","",NA,"I would prefer the training I experienced.",NA,NA,NA,NA,"","","",NA,"I prefer the training to be assigned based on personalisation.",1,NA,0,NA,NA,1,1,NA,NA,1,NA,1,1,1,NA,NA,1,1,NA,1,1,NA,1,NA,0,1,NA,1,NA,NA,0,1,NA,NA,"",5,2,3,5,5,5,4,5,3,5,5,5,5,5,5,4,5,5,"36-45","Graduate university degree (Bachelor/Master)","","No, other education or occupation","",4,4,4,1,3,5,4,5,3,4,4,4,5,3,5,4,5,5,5,5,4,5,4,5,2,5,"","","Yes, you can use this data","","33.3","010110011010001101100101","","","","2024-08-28T10:38:17.096Z","2024-08-28T10:41:54.614Z","2024-08-28T11:04:16.648Z","2024-08-28T11:10:30.223Z","2024-08-28T11:15:21.899Z","2024-08-28T11:18:06.075Z","0",21.3,"12,20","","1",3,3.66666666666667,4,3.66666666666667,3.66666666666667,4,4.66666666666667,5,3.66666666666667,4.38461538461539,9,14,10,15,12,15,15,14,81,4.5,4,3.5,2,3.5,0.333333333333333,1,0.833333333333333,1,1,0.6,19.3,26.8,1,"medium","match",NA,"keep"
173,2813,"","Multiple times a week","No, never",2,2,2,"Sunfish",1,NA,NA,1,NA,0,NA,NA,1,1,2,3,3,3,3,2,3,2,4,4,3,3,4,1,3,3,3,3,3,1,NA,NA,1,NA,1,NA,NA,0,1,NA,1,1,NA,NA,0,NA,NA,1,1,0,NA,NA,1,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","10.892","551.745","560.182","65","19.673","325.495","325.404","36","3.857","481.473","482.78","87","","","","","","","",NA,NA,NA,NA,"Alternative 1: I would prefer the full training with educational videos, tests with guidance, and the reminder elements.",NA,"","","",NA,"I prefer to select the training myself.",NA,1,1,NA,1,NA,1,1,NA,NA,0,NA,NA,1,1,NA,0,1,NA,NA,NA,0,0,NA,0,NA,1,1,NA,0,NA,1,1,NA,"Phishing can occur through emails, phone calls, and text messages.",2,3,3,4,4,3,4,4,4,3,4,3,4,3,4,3,2,3,"56-65","Associate or technical degree","","No, other education or occupation","",2,3,3,5,5,3,3,4,5,4,3,3,3,4,3,3,4,3,2,3,3,4,4,4,4,3,"","","Yes, you can use this data","","22.8","100101001101100101011001","","","","2024-08-28T10:39:34.609Z","2024-08-28T10:44:16.642Z","2024-08-28T11:07:45.705Z","2024-08-28T11:11:00.418Z","2024-08-28T11:13:57.881Z","2024-08-28T11:17:28.951Z","1",14.8,"10,12,17,29","","1",2.66666666666667,2.66666666666667,3.25,3.33333333333333,2.91666666666667,3.33333333333333,3.33333333333333,3,4,3.38461538461538,7,9,8,11,12,10,11,8,60,2.5,3,4,5,4.5,0.833333333333333,0.666666666666667,0.833333333333333,0.5,0.8,0.666666666666667,14.8,17.4,0,"medium","hard",NA,"prefer full"
174,2750,"","Multiple times an hour","Yes, once",4,5,5,"Sunfish",1,NA,NA,1,0,NA,NA,1,1,NA,5,5,5,5,5,4,5,5,5,5,4,3,4,2,5,3,5,5,5,1,NA,NA,1,1,NA,NA,1,0,NA,NA,1,1,NA,1,NA,1,1,NA,NA,NA,1,1,NA,"Postman","Always wait before clicking","Sending fake copies of real emails","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",NA,NA,NA,NA,NA,NA,"","","","Alternative 1: I would prefer receiving the full training.","I prefer to select the training myself.",NA,0,1,NA,NA,1,1,NA,NA,1,1,NA,NA,0,NA,1,NA,NA,1,1,0,NA,NA,0,0,NA,1,1,NA,NA,0,1,NA,NA,"Phishing can occur through emails, phone calls, and text messages.",3,5,5,4,5,5,4,5,5,5,5,5,5,5,5,5,5,5,"66-75","Graduate university degree (Bachelor/Master)","","No, other education or occupation","",3,3,3,1,5,4,5,5,1,5,4,4,5,1,5,4,5,5,5,5,5,5,4,5,4,5,"","","Yes, you can use this data","","39.8","100110011001101010100110","","","","2024-08-28T10:42:04.746Z","2024-08-28T10:48:31.921Z","2024-08-28T11:03:51.430Z","2024-08-28T11:06:56.015Z","2024-08-28T11:13:49.457Z","2024-08-28T11:17:35.045Z","2",31.8,"","","2",5,4.66666666666667,5,3.66666666666667,4.66666666666667,3.66666666666667,4.66666666666667,5,4.33333333333333,4.46153846153846,10,15,13,14,14,15,15,15,86,3.5,4,2,1,5,0.833333333333333,1,0.833333333333333,0.5,0.8,0.6,27.8,23.7,2,"education","education",NA,"prefer full"
175,2891,"","Multiple times a day","Yes, once",3,4,4,"Sunfish",1,NA,NA,0,NA,1,1,1,NA,NA,4,4,3,4,4,3,4,3,4,4,4,4,4,2,4,5,4,5,4,0,NA,NA,1,NA,1,1,1,NA,NA,0,NA,1,NA,1,NA,1,1,NA,1,NA,NA,NA,1,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","17.846","478.171","482.094","93","15.71","76.088","76.1","18","3.915","456.511","501.935","54","","","","","","","",NA,"Alternative 1: I would prefer the full training with educational videos, tests with guidance, and the reminder elements.",NA,NA,NA,NA,"","","",NA,"I prefer the training to be assigned based on personalisation.",NA,1,1,NA,0,NA,NA,NA,1,1,NA,1,NA,1,NA,1,NA,NA,1,NA,1,1,1,NA,0,NA,1,1,NA,1,NA,NA,NA,1,"",2,3,4,4,5,5,4,5,4,5,4,4,4,5,4,4,4,4,"36-45","Graduate university degree (Bachelor/Master)","","No, other education or occupation","",1,5,4,3,2,2,4,4,2,2,3,4,4,4,4,3,4,4,4,4,4,4,4,4,2,4,"","","Yes, you can use this data","","34.9","100101110010101010110001","","","","2024-08-28T10:44:39.297Z","2024-08-28T10:50:00.771Z","2024-08-28T11:08:01.827Z","2024-08-28T11:11:42.614Z","2024-08-28T11:14:04.353Z","2024-08-28T11:17:14.079Z","0",24.9,"6,12,10","","1",3.66666666666667,3.66666666666667,3.75,4,3.75,4,3.66666666666667,4,3.33333333333333,3.76923076923077,11,13,9,14,13,13,13,12,74,1.5,4.5,3.5,2.5,2,0.666666666666667,1,0.833333333333333,1,0.8,0.8,21.9,22.5,1,"medium","match",NA,"prefer full"
176,2883,"","Multiple times a week","No, never",3,4,3,"Sunfish",1,1,NA,NA,NA,0,NA,NA,1,1,2,4,4,3,4,2,3,3,4,4,4,4,3,2,4,2,4,4,4,1,0,NA,NA,NA,1,NA,NA,0,0,1,NA,NA,1,1,NA,NA,NA,1,NA,1,NA,NA,1,"","","","13.504","216.337","219.974","35","Postman","267.3","267.3","268.687","1","Look for the 'who-area'","234.935","309.759","314.78","2","Sending fake copies of real emails","217.104","239.232","254.864","2","4.925","299.83","300.169","54","31.004","176.94","176.949","16","1.751","107.935","122.415","28","","","","","","","","","","","","","","","","","","","","I would prefer the training I experienced.",NA,NA,NA,NA,NA,"","","",NA,"I prefer the training to be assigned based on personalisation.",NA,NA,1,1,1,NA,1,1,NA,NA,NA,1,1,NA,NA,1,1,1,NA,1,NA,1,1,NA,0,NA,NA,1,1,1,NA,1,1,NA,"",2,5,3,2,5,5,4,5,5,5,4,5,4,5,5,5,4,5,"18-25","Secondary or school diploma","","No, other education or occupation","",1,1,2,3,1,1,3,4,5,5,4,4,5,4,4,4,5,5,4,3,4,5,4,4,4,5,"","","Yes, you can use this data","","31.1","110001001110011001101001","","","","2024-08-28T10:37:14.786Z","2024-08-28T10:39:51.309Z","2024-08-28T11:08:17.910Z","2024-08-28T11:10:00.902Z","2024-08-28T11:15:19.265Z","2024-08-28T11:18:18.138Z","0",18.1,"6,29,22,30,10,13,27","","0",3,3.33333333333333,3.5,3.66666666666667,3.41666666666667,3.66666666666667,4.33333333333333,4.75,4,4.23076923076923,8,12,10,12,14,14,14,14,78,1,2,3,4,3,0.5,1,1,1,0.8,0.833333333333333,18.1,28.5,0,"full","match",NA,"keep"
177,2719,"","Multiple times a week","Yes, once",4,4,3,"Sunfish",1,NA,NA,1,1,NA,NA,0,0,NA,3,4,3,5,4,2,4,3,2,2,3,4,3,3,2,3,2,2,2,0,NA,NA,1,0,NA,NA,1,1,NA,0,NA,0,NA,NA,0,1,0,NA,0,NA,1,NA,0,"","","","5.481","131.744","137.481","18","Baker","363.024","369.511","370.746","3","Always wait before clicking","9.425","360.649","361.544","5","Sending fake copies of real emails","301.51","304.648","305.98","2","1.951","114.142","207.171","66","2.229","282.932","282.945","21","2.799","18.793","148.499","10","","","","","","","","","","","","","","","","","","","","I would prefer the training I experienced.",NA,NA,NA,NA,NA,"","","",NA,"I prefer the training to be assigned based on personalisation.",NA,1,1,NA,NA,1,1,NA,NA,1,NA,1,NA,0,1,NA,NA,NA,0,NA,0,NA,0,NA,0,NA,0,1,NA,NA,1,1,NA,NA,"",1,4,3,2,1,5,4,2,4,3,4,2,5,4,2,2,3,4,"26-35","Graduate university degree (Bachelor/Master)","","No, other education or occupation","",1,5,2,2,1,5,2,4,4,5,4,5,5,5,5,4,5,2,1,5,5,2,4,4,4,2,"","","Yes, you can use this data","","21","100110011010100110010101","","","","2024-08-28T10:39:05.921Z","2024-08-28T10:40:54.913Z","2024-08-28T11:12:13.950Z","2024-08-28T11:18:13.522Z","2024-08-28T11:19:10.730Z","2024-08-28T11:20:49.443Z","0",16,"4,12","","0",3.66666666666667,3.33333333333333,2.75,3.33333333333333,3.25,5,4.66666666666667,1.75,4,3.69230769230769,8,6,8,8,10,9,11,9,55,3,3.5,4.5,3,3,0.5,0.285714285714286,1,0.2,0.6,0.6,14,19.4,0,"full","match",NA,"keep"
178,2773,"","Multiple times an hour","No, never",4,4,4,"Sunfish",NA,1,NA,1,1,NA,1,1,NA,NA,2,2,3,3,4,4,1,4,5,3,5,5,4,5,5,5,4,5,5,NA,0,NA,0,0,NA,1,1,NA,NA,0,NA,NA,1,NA,1,NA,NA,1,1,1,NA,1,NA,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","22.922","558.786","560.038","56","19.063","249.964","249.977","16","2.237","476.302","482.194","69","","","","","","","",NA,"I would prefer the training I experienced.",NA,NA,NA,NA,"","","",NA,"I prefer the training to be recommended based on personalisation, but the choice remaining with me.",1,NA,0,NA,NA,1,NA,NA,1,1,NA,1,1,NA,1,NA,1,1,NA,NA,NA,1,NA,0,0,1,NA,1,NA,NA,1,NA,NA,1,"",3,5,5,5,5,5,5,5,5,4,5,4,5,5,5,4,5,5,"36-45","Secondary or school diploma","","No, other education or occupation","",3,1,3,3,2,4,1,5,5,2,4,4,4,3,4,4,3,1,5,4,2,2,5,5,4,4,"","","Yes, you can use this data","","34.8","010110110010010101011010","","","","2024-08-28T10:41:38.261Z","2024-08-28T10:45:53.124Z","2024-08-28T11:08:30.644Z","2024-08-28T11:11:41.598Z","2024-08-28T11:15:32.986Z","2024-08-28T11:18:32.984Z","0",24.8,"2,12,17,18,29","","1",2.66666666666667,3.33333333333333,3.25,4.66666666666667,3.41666666666667,3,3.66666666666667,3,4.66666666666667,3.53846153846154,15,14,13,15,15,13,15,14,85,3.5,1,3,4,2,0.333333333333333,1,0.833333333333333,0.833333333333333,1,0.8,22.8,23.2,1,"medium","match",NA,"keep"
179,2847,"","Multiple times a day","Yes, once",3,4,4,"Sunfish",1,1,NA,NA,NA,1,NA,1,1,NA,2,2,2,2,2,2,3,3,4,4,3,3,2,2,3,4,4,5,4,1,1,NA,NA,NA,0,NA,1,0,NA,1,NA,1,NA,1,NA,1,1,NA,NA,NA,1,NA,1,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","44.218","483.055","484.496","48","29.808","218.831","218.839","16","4.316","404.683","498.032","61","","","","","","","",NA,NA,NA,NA,"Alternative 1: I would prefer the full training with educational videos, tests with guidance, and the reminder elements.",NA,"","","",NA,"I prefer the training to be recommended based on personalisation, but the choice remaining with me.",NA,NA,0,1,0,NA,1,NA,NA,1,NA,1,NA,1,NA,1,NA,NA,1,1,1,NA,1,NA,0,NA,NA,1,1,1,NA,1,NA,NA,"",4,4,4,4,5,4,4,4,3,4,4,4,4,4,5,4,4,3,"36-45","Graduate university degree (Bachelor/Master)","","No, other education or occupation","",4,3,3,4,5,4,3,3,4,4,4,4,4,3,3,3,4,3,3,3,4,4,4,4,4,4,"","","Yes, you can use this data","","34","110001011010101010100101","","","","2024-08-28T10:41:31.587Z","2024-08-28T10:47:42.483Z","2024-08-28T11:08:57.883Z","2024-08-28T11:12:25.667Z","2024-08-28T11:14:59.753Z","2024-08-28T11:18:59.007Z","1",24,"6,10,12,17,27,29,30","","1",2,2,3.5,2.66666666666667,2.66666666666667,3.33333333333333,3.33333333333333,3.5,4,3.53846153846154,9,13,12,13,11,12,13,11,72,4,3,3.5,4,4.5,0.666666666666667,1,0.666666666666667,1,1,0.8,21,21.7,1,"medium","match",NA,"prefer full"
180,2979,"","Multiple times a day","Yes, once",3,3,3,"Sunfish",NA,NA,1,1,1,NA,NA,1,NA,1,3,3,3,2,4,3,3,4,4,4,4,3,4,5,3,4,2,4,3,NA,NA,1,0,0,NA,NA,0,NA,1,1,NA,NA,1,1,NA,NA,NA,1,1,1,NA,NA,1,"Postman","Look for the 'who-area'","Sending fake copies of real emails","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",NA,NA,NA,NA,NA,NA,"","","","I prefer the option I received.","I prefer to select the training myself.",1,1,NA,NA,NA,1,1,NA,1,NA,NA,1,1,NA,NA,1,1,0,NA,NA,NA,1,1,NA,0,1,1,NA,NA,NA,1,1,NA,1,"",5,2,5,5,5,3,5,5,4,5,5,3,5,5,5,5,5,5,"46-55","Graduate university degree (Bachelor/Master)","","No, other education or occupation","",2,3,2,3,4,4,3,5,2,3,4,5,5,4,4,4,5,4,4,3,4,5,5,4,4,5,"","","Yes, you can use this data","","33.9","001110010110011001011001","","","","2024-08-28T10:38:15.847Z","2024-08-28T10:42:26.534Z","2024-08-28T10:59:46.918Z","2024-08-28T11:06:33.021Z","2024-08-28T11:15:18.395Z","2024-08-28T11:19:29.222Z","2",22.9,"","","1",2.66666666666667,3.33333333333333,3.75,3.66666666666667,3.33333333333333,3.66666666666667,4.33333333333333,4.5,4.33333333333333,4.23076923076923,12,9,12,13,14,13,15,15,82,3,3,2.5,2.5,3.5,0.5,1,1,0.833333333333333,1,0.833333333333333,19.9,27.3,1,"education","education",NA,"keep"
181,3001,"","Multiple times a day","No, never",3,3,3,"Sunfish",1,NA,1,NA,1,NA,1,NA,0,NA,3,4,4,3,4,3,4,4,4,4,5,4,4,3,4,4,3,4,4,0,NA,0,NA,0,NA,0,NA,0,NA,NA,1,1,NA,NA,1,1,1,NA,1,NA,NA,NA,1,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","11.301","294.442","499.744","10","4.21","210.038","210.047","21","4.06","468.492","482.26","44","","","","","","","",NA,NA,NA,NA,"Alternative 1: I would prefer the full training with educational videos, tests with guidance, and the reminder elements.",NA,"","","",NA,"I prefer the training to be recommended based on personalisation, but the choice remaining with me.",NA,0,NA,1,NA,0,NA,1,NA,1,0,NA,NA,0,1,NA,NA,NA,1,NA,0,1,1,NA,0,NA,1,NA,1,NA,1,NA,1,NA,"Phishing can occur through emails, phone calls, and text messages.",4,4,4,3,5,1,4,4,4,3,5,4,5,5,4,3,4,4,"18-25","Graduate university degree (Bachelor/Master)","","No, other education or occupation","",2,3,4,2,4,3,3,4,4,5,4,4,4,4,4,5,4,4,5,4,4,4,5,5,4,4,"","","Yes, you can use this data","","25.6","101010101001100110110001","","","","2024-08-28T10:41:40.873Z","2024-08-28T10:47:03.841Z","2024-08-28T11:08:48.570Z","2024-08-28T11:11:15.784Z","2024-08-28T11:15:40.012Z","2024-08-28T11:19:14.932Z","1",18.6,"29","","1",3.33333333333333,3.66666666666667,4,4.33333333333333,3.83333333333333,4,4.33333333333333,4.25,4.66666666666667,4.30769230769231,11,11,12,9,12,12,14,11,70,2.5,3,3.5,3,4.5,0.166666666666667,1,0.5,0.666666666666667,0.8,0.8,17.6,20.7,0,"medium","hard",NA,"prefer full"
182,2920,"","Multiple times a week","No, never",3,3,2,"Sunfish",NA,1,1,NA,NA,0,NA,NA,1,1,3,3,2,2,2,2,4,2,4,3,4,4,3,3,4,3,4,4,3,NA,1,0,NA,NA,1,NA,NA,1,1,NA,1,NA,1,1,NA,NA,NA,1,0,NA,0,NA,0,"","","","23.412","207.637","218.528","29","Postman","306.308","306.308","308.411","1","Look for the 'who-area'","310.273","310.273","313.915","1","Sending fake copies of real emails","369.805","369.805","371.512","1","8.041","290.418","300.014","53","7.868","213.052","213.063","17","2.885","123.076","125.872","12","","","","","","","","","","","","","","","","","","","","I would prefer the training I experienced.",NA,NA,NA,NA,NA,"","","",NA,"I prefer the training to be recommended based on personalisation, but the choice remaining with me.",1,NA,NA,1,1,NA,1,1,NA,NA,0,NA,1,NA,NA,1,1,1,NA,NA,1,NA,1,NA,0,1,NA,NA,1,1,NA,1,1,NA,"Phishing can occur through emails, phone calls, and text messages.",2,3,4,3,5,4,4,4,5,4,4,4,4,3,4,4,3,4,"46-55","Graduate university degree (Bachelor/Master)","","Yes, other IT security related education or occupation:","",2,3,2,4,4,2,4,3,4,4,4,4,4,3,2,3,4,4,2,2,4,4,4,4,3,4,"","","Yes, you can use this data","","27.1","011001001101011001010101","","","","2024-08-28T10:36:27.141Z","2024-08-28T10:40:39.482Z","2024-08-28T11:12:21.206Z","2024-08-28T11:14:05.158Z","2024-08-28T11:17:31.281Z","2024-08-28T11:20:33.127Z","0",16.1,"3,12,18,20","","0",2.33333333333333,2.33333333333333,3.25,3.66666666666667,2.91666666666667,3,3,3.5,3.66666666666667,3.30769230769231,10,11,9,12,13,12,11,11,68,2,3.5,3.5,4,4,0.833333333333333,0.5,0.833333333333333,1,0.8,0.833333333333333,16.1,23.1,0,"full","match",NA,"keep"
